ALBA,ALBA
THE,THE
MONTHS,MONTHS
MINDE,MIND
OF,OF
A,A
MELANCHOLY,MELANCHOLY
LOVER,LOVER
diuided,divided
into,into
three,three
parts,parts
By,By
Gentleman,Gentleman
HEREVNTO,HEREUNTO
IS,IS
ADDED,ADDED
A,A
most,most
excellent,excellent
pathetical,pathetical
and,and
passionate,passionate
Letter,Letter
sent,sent
by,by
Duke,Duke
D'Epernoun,D'Epernoun
vnto,unto
the,the
late,late
French,French
King,King
Henry,Henry
the,the
of,of
that,that
name,name
when,when
he,he
was,was
commanded,commanded
from,from
the,the
Court,Court
and,and
from,from
his,his
Royall,Royal
Companie,Company
Translated,Translated
into,into
English,English
by,by
the,the
foresaid,foresaid
Author,Author
Spes,Spes
Amor,Amor
Fortuna,Fortuna
valete,valet
AT,AT
LONDON,LONDON
Printed,Printed
by,by
Felix,Felix
Kingston,Kingston
for,for
Matthew,Matthew
Lownes,Lownes
As,As
glorious,glorious
Pearle,Pearl
the,the
MARGARITE,MARGARITE
At,At
shine,shine
of,of
Sunne,Sun
doth,doth
showe,show
So,So
doth,doth
she,she
looke,look
or,or
very,very
like,like
To,To
whom,whom
I,I
Dutie,Duty
owe,owe
TO,TO
THE,THE
NO,NO
LESSE,LESS
EXCELLENT,EXCELLENT
THEN,THAN
HONORABLIE,HONOURABLY
DESCENDED,DESCENDED
Gentlewoman,Gentlewoman
Mistresse,Mistress
Anne,Anne
Herne,Herne
PVre,PVre
Lampe,Lamp
of,of
Vertue,Virtue
burning,burning
alwaies,always
bright,bright
Who,Who
Grace,Grace
in,in
me,me
vnworthie,unworthy
dost,dost
infuse,infuse
Cleere,Clear
Sunne,Sun
that,that
driu'st,drivest
each,each
doubtfull,doubtful
Mist,Mist
from,from
sight,sight
The,The
firm'st,firm'st
Maintainer,Maintainer
of,of
my,my
crased,crazed
Muse,Muse
Lo,Lo
I,I
this,this
mournfull,mournful
Verse,Verse
in,in
sable,sable
weede,weed
From,From
sorrowes,sorrows
Cell,Cell
do,do
send,send
thee,thee
for,for
to,to
reade,read
Daine,Deign
thou,thou
with,with
cheerfull,cheerful
looke,look
what,what
my,my
sad,sad
eye,eye
Distils,distills
from,from
Lymbeck,limbeck
of,of
a,a
bleeding,bleeding
Hart,heart
Fruits,Fruits
of,of
True,True
Loue,Love
disdainde,disdained
most,most
wrongfully,wrongfully
of,of
me,me
as,as
of,of
my,my
Dutie,Duty
part,part
A,A
Wofull,Woeful
Wight,Wight
indebted,indebted
paieth,payeth
thee,thee
so,so
Bankroutes,Bankrupts
in,in
pleasure,pleasure
can,can
but,but
pay,pay
with,with
woe,woe
As,As
often,often
as,as
the,the
Moone,Moon
doth,doth
change,change
her,her
course,course
And,And
Sunne,Sun
to,to
nouell,novel
Signe,Sign
doth,doth
enter,enter
in,in
So,So
often,often
I,I
do,do
call,call
still,still
for,for
remorse,remorse
Whilst,Whilst
endles,endless
sorrow,sorrow
doth,doth
new,new
Griefe,Grief
begin,begin
Once,Once
I,I
each,each
Month,Month
to,to
CRVEL,CRVEL
ALBA,ALBA
make,make
A,A
MONTHS,MONTH'S
MIND,MIND
yet,yet
no,no
pitie,pity
she,she
doth,doth
take,take
Thou,Thou
art,art
the,the
SHADOW,SHADOW
of,of
her,her
SVBSTANCE,SUBSTANCE
faire,fair
Resembling,Resembling
her,her
most,most
perfectly,perfectly
in,in
Shape,Shape
Ah,Ah
then,then
but,but
smile,smile
and,and
it,it
shall,shall
ease,ease
my,my
care,care
Though,Though
stint,stint
it,it
cannot,cannot
her,her
nere,near
dying,dying
hate,hate
Grant,Grant
me,me
this,this
Boone,Boon
and,and
neuer,never
shall,shall
my,my
Verse,Verse
Leaue,Leave
of,of
thy,thy
Christall,Crystal
BROOKE,BROOK
praise,praise
to,to
rehearse,rehearse
Humbly,Humbly
deuoted,devoted
vnto,unto
your,your
matchles,matchless
Vertues,Virtues
TO,TO
THE,THE
THRISE,THRICE
GENEROVS,GENEROUS
AND,AND
NOBLE,NOBLE
Gentleman,Gentleman
Sir,Sir
Calisthines,Calisthines
Brooke,Brooke
Knight,Knight
one,one
of,of
her,her
Maiesties,majesties
chiefe,chief
Commanders,Commanders
in,in
IRELAND,IRELAND
MIrror,MIrror
of,of
Knighthood,Knighthood
WORTHIES,WORTHIES
Caualiere,Cavalier
Touchstone,Touchstone
of,of
Valour,Valour
Chiefe,Chief
of,of
Chiualrie,Chivalry
Honor,Honour
of,of
Field,Field
to,to
Foe,Foe
a,a
deadly,deadly
Feare,Fear
Wars,Wars
bloody,bloody
Ancient,Ancient
Plague,Plague
to,to
Surquedrie,Surquedry
Souldiers,Soldiers
Reliefe,Relief
Mars,Mars
brauest,bravest
Coronell,Colonel
