Is,Is
it,it
alonly,alonely
which,which
with,with
vs,us
of,of
soule,soul
dooth,doth
beare,bear
the,the
name,name
And,And
as,as
the,the
second,second
dooth,doth
conteine,contain
the,the
first,first
euen,even
so,so
the,the
third,third
Conteyneth,Containeth
both,both
the,the
other,other
twaine,twain
And,And
neyther,neither
beast,beast
nor,nor
bird,bird
Nor,Nor
fish,fish
nor,nor
herb,herb
nor,nor
tree,tree
nor,nor
shrub,shrub
nor,nor
any,any
earthly,earthly
wyght,wight
Saue,Save
only,only
man,man
can,can
of,of
the,the
same,same
partake,partake
the,the
heauenly,heavenly
myght,might
I,I
graunt,grant
that,that
when,when
our,our
breath,breath
dooth,doth
from,from
our,our
bodies,bodies
go,go
away,away
It,It
dooth,doth
eftsoones,eftsoons
returne,return
too,too
ayre,air
and,and
of,of
that,that
ayre,air
there,there
may,may
Both,Both
bird,bird
and,and
beast,beast
participate,participate
and,and
wee,we
of,of
theirs,theirs
likewyse,likewise
For,For
whyle,while
wee,we
liue,live
the,the
thing,thing
itself,itself
appeereth,appeareth
to,to
our,our
eyes,eyes
Bothe,Both
they,they
and,and
wee,we
draw,draw
all,all
one,one
breath,breath
But,But
for,for
too,too
deeme,deem
or,or
say,say
Our,Our
noble,noble
soule,soul
which,which
is,is
diuine,divine
and,and
permanent,permanent
for,for
Is,Is
common,common
too,to
vs,us
with,with
the,the
beasts,beasts
I,I
think,think
it,it
nothing,nothing
lesse,less
Than,Than
for,for
too,too
bee,be
a,a
poynt,point
of,of
him,him
that,that
wisdome,wisdom
dooth,doth
professe,profess
Of,Of
this,this
I,I
am,am
ryght,right
well,well
assurde,assured
there,there
is,is
no,no
Christen,Christian
Wyght,Wight
That,That
can,can
by,by
fondnesse,fondness
be,be
so,so
farre,far
seduced,seduced
from,from
the,the
ryght,right
And,And
finally,finally
hee,he
dooth,doth
proceede,proceed
in,in
shewing,showing
that,that
not,not
all,all
That,That
beare,bear
the,the
name,name
of,of
men,men
how,how
strong,strong
feerce,fierce
stout,stout
bold,bold
hardy,hardy
tall,tall
How,How
wyse,wise
fayre,fair
rych,rich
or,or
hyghly,highly
borne,borne
how,how
much,much
renownd,renowned
by,by
fame,fame
So,So
ere,ere
they,they
bee,be
although,although
on,on
earth,earth
of,of
Goddes,Gods
they,they
beare,bear
the,the
name,name
Are,Are
for,for
too,too
be,be
accounted,accounted
men,men
but,but
such,such
as,as
vnder,under
awe,awe
Of,Of
reasons,reasons
rule,rule
continually,continually
doo,do
liue,live
in,in
vertues,virtues
law,law
And,And
that,that
the,the
rest,rest
doo,do
differ,differ
nought,nought
from,from
beasts,beasts
but,but
rather,rather
bee,be
Much,Much
woorse,worse
than,than
beasts,beasts
bicause,because
they,they
doo,do
abace,abase
theyr,their
owne,own
degree,degree
To,To
naturall,natural
philosophye,philosophy
the,the
formest,formest
three,three
perteyne,pertain
The,The
fowrth,fourth
too,too
morall,moral
and,and
in,in
all,all
are,are
pitthye,pitthye
apt,apt
and,and
playne,plain
Instructions,Instructions
which,which
import,import
the,the
prayse,praise
of,of
and,and
the,the
shame,shame
Of,Of
vices,vices
with,with
the,the
due,due
rewardes,rewards
of,of
eyther,either
of,of
the,the
same,same
As,As
for,for
example,example
Out,Out
of,of
the,the
first,first
booke,book
in,in
the,the
tale,tale
of,of
Daphnee,Daphnee
turnd,turned
too,too
Bay,bay
A,A
myrror,mirror
of,of
virginitie,virginity
appeere,appear
vntoo,unto
vs,us
may,may
Which,Which
yeelding,yielding
noyther,noyther
vntoo,unto
feare,fear
nor,nor
force,force
nor,nor
flatterye,flattery
Doth,Doth
purchace,purchase
euerlasting,everlasting
fame,fame
and,and
immortalitye,immortality
In,In
Phaetons,Phaeton's
fable,fable
vntoo,unto
syght,sight
the,the
Poet,Poet
dooth,doth
expresse,express
Out,Out
of,of
the,the
second,second
The,The
natures,natures
of,of
ambition,ambition
blynd,blind
and,and
youthfull,youthful
wilfulnesse,wilfulness
The,The
end,end
whereof,whereof
is,is
miserie,misery
and,and
bringeth,bringeth
at,at
the,the
last,last
Repentance,Repentance
when,when
it,it
is,is
to,to
late,late
that,that
all,all
redresse,redress
is,is
past,past
And,And
how,how
the,the
weaknesse,weakness
and,and
the,the
want,want
of,of
wit,wit
in,in
magistrate,magistrate
Confoundeth,Confoundeth
both,both
his,his
common,common
weale,weal
and,and
eeke,eke
his,his
owne,own
estate,estate
This,This
fable,fable
also,also
dooth,doth
aduyse,advise
all,all
parents,parents
and,and
all,all
such,such
As,As
bring,bring
vp,up
youth,youth
too,too
take,take
good,good
heede,heed
of,of
cockering,cockering
them,them
too,too
much,much
It,It
further,further
dooth,doth
commende,commend
the,the
meane,mean
and,and
willeth,willeth
too,too
beware,beware
Of,Of
rash,rash
and,and
hasty,hasty
promises,promises
which,which
most,most
pernicious,pernicious
are,are
And,And
not,not
too,too
bee,be
performed,performed
and,and
in,in
fine,fine
it,it
playnly,plainly
showes,shows
What,What
sorrow,sorrow
too,too
the,the
parents,parents
and,and
too,too
all,all
the,the
kinred,kindred
growes,grows
By,By
disobedience,disobedience
of,of
the,the
chyld,child
and,and
in,in
the,the
chyld,child
is,is
ment,meant
The,The
disobedient,disobedient
subiect,subject
that,that
ageinst,against
his,his
prince,prince
is,is
bent,bend
The,The
transformations,transformations
of,of
the,the
Crow,Crow
and,and
Rauen,Raven
doo,do
declare,declare
That,That
Clawbacks,Clawback's
and,and
