THE,THE
LORD,LORD
MARQVES,MARQVES
IDLENES,IDLENESS
Conteining,Containing
manifold,manifold
matters,matters
of,of
acceptable,acceptable
deuise,devise
as,as
sage,sage
sentences,sentences
prudent,prudent
precepts,precepts
morall,moral
examples,examples
sweete,sweet
similitudes,similitudes
proper,proper
comparisons,comparisons
and,and
other,other
remembrances,remembrances
of,of
speciall,special
choise,choice
No,No
lesse,less
pleasant,pleasant
to,to
peruse,peruse
than,than
profitable,profitable
to,to
practise,practise
compiled,compiled
by,by
the,the
right,right
Honorable,Honourable
WILLIAM,WILLIAM
Marques,Marquis
of,of
WINCHESTER,WINCHESTER
that,that
now,now
is,is
Cicero,Cicero
ex,ex
Nec,Nec
vero,vero
clarorum,clarorum
virorum,virorum
post,post
mortem,mortem
honores,honores
Permanerent,Permanerent
si,si
nihil,nihil
eorum,eorum
ipsorum,ipsorum
animi,animi
efficerent,efficerent
The,The
honor,honour
of,of
noble,noble
men,men
could,could
not,not
remaine,remain
after,after
death,death
If,If
their,their
minds,minds
should,should
be,be
idle,idle
and,and
do,do
nothing,nothing
Scipio,Scipio
Nunquam,Nunquam
minùs,minùs
solus,solus
quàm,quàm
cùm,cùm
solus,solus
Nec,Nec
minùs,minùs
otiosus,otiosus
quàm,quàm
cùm,cùm
otiosus,otiosus
Imprinted,Imprinted
at,at
London,London
by,by
Arnold,Arnold
Hatfield,Hatfield
DIEV,DIEV
ET,ET
MON,MON
DROIT,DROIT
Floreat,Floreat
alma,alma
diû,diû
Princeps,Princeps
precor,precor
ELISABETHA,ELISABETHA
R,R
Roscida,Roscida
solatur,solatur
rutilans,rutilans
vt,ut
gramina,gramina
Titan,Titan
N,N
E,E
Et,Et
radio,radio
exhilarat,exhilarat
cuncta,cuncta
elementa,elementa
suo,suo
O,O
G,G
Grata,Grata
velut,velut
nutrix,nutrix
sic,sic
Anglis,Anglis
numina,numina
praebens,praebens
S,S
I,I
Iudith,judith
nostra,nostra
Deo,Deo
praeside,praeside
clara,clara
viget,viget
T,T
N,N
Nobilis,Nobilis
haec,haec
valeat,valeat
in,in
scena,scena
hac,hac
foemina,foemina
semper,semper
R,R
A,A
Ac,Ac
nectar,nectar
gratum,gratum
libet,libet
in,in
aetherea,aetherea
A,A
ANGLIAE,ANGLIAE
TO,TO
THE,THE
HIGH,HIGH
MIGHTIE,MIGHTY
AND,AND
HIS,HIS
RIGHT,RIGHT
GRACIOVS,GRACIOUS
SOVERAIGNE,SOVEREIGN
LADIE,LADY
THE,THE
QVEENES,Queen's
MOST,MOST
EXCELLENT,EXCELLENT
MAIESTIE,MAJESTY
THe,THe
Traueller,traveler
Right,Right
gracious,gracious
