Epistle,Epistle
PErhaps,PErhaps
you,you
doe,do
delight,delight
to,to
flout,flout
and,and
fleere,fleer
Perhaps,Perhaps
a,a
word,word
may,may
be,be
misplaced,misplaced
here,here
some,some
thing,thing
may,may
touch,touch
you,you
very,very
neere,near
you,you
doe,do
beleeue,believe
your,your
threats,threats
I,I
feare,fear
you,you
loue,love
me,me
not,not
the,the
case,case
is,is
cleare,clear
you,you
doe,do
backbite,backbite
me,me
euery,every
where,where
you,you
thinke,think
it,it
comes,comes
not,not
to,to
mine,mine
eare,ear
you,you
crost,crossed
my,my
new,new
bookes,books
sale,sale
last,last
yeare,year
Perhaps,Perhaps
you,you
know,know
I,I
cannot,cannot
quit,quit
this,this
geare,gear
Yes,Yes
if,if
I,I
would,would
as,as
enuious,envious
appeare,appear
But,But
what,what
need,need
I,I
sith,sith
acting,acting
thus,thus
your,your
part,part
You,You
wound,wound
your selues,yourselves
by,by
Enuy,Envy
to,to
the,the
heart,heart
PORTLAND,PORTLAND
STONE,STONE
IN,IN
Pauls,Paul's
Church-yard,Churchyard
E'Re,e'er
since,since
the,the
Architect,Architect
of,of
Heauens,Heaven's
faire,fair
frame,frame
Did,Did
make,make
the,the
World,World
and,and
Man,Man
to,to
vse,use
the,the
same,same
In,In
Earths,Earth's
wide,wide
wombe,womb
as,as
in,in
our,our
nat'rall,natural
bed,bed
We,We
haue,have
beene,been
hid,hid
conceal'd,concealed
and,and
couered,covered
Where,Where
many,many
thousand,thousand
ships,ships
haue,have
sailed,sailed
by,by
But,But
knew,knew
vs,us
not,not
and,and
therefore,therefore
let,let
vs,us
lye,lie
Till,Till
at,at
the,the
last,last
and,and
very,very
lately,lately
too,too
Some,Some
Builders,Bvilder's
hauing,having
building,building
worke,work
to,to
doe,do
And,And
time,time
be'ing,being
come,come
we,we
could,could
no,no
longer,longer
tarry,tarry
But,But
must,must
be,be
borne,borne
from,from
out,out
our,our
earthly,earthly
quarry,quarry
We,We
were,were
discouer'd,discovered
and,and
to,to
London,London
sent,sent
And,And
by,by
good,good
Artists,Artists
tryde,tried
incontinent,incontinent
Who,Who
finding,finding
vs,us
in,in
all,all
things,things
firme,firm
sound,sound
Fairer,Fairer
and,and
greater,greater
then,than
else-where,elsewhere
are,are
found,found
Fitter,Fitter
for,for
cariage,carriage
and,and
more,more
sure,sure
for,for
weather,weather
Then,Then
Oxford,Oxford
Ancaster,Ancaster
or,or
Beerstone,Beerstone
eyther,either
Did,Did
well,well
approue,approve
our,our
worth,worth
aboue,above
them,them
All,All
Vnto,Unto
the,the
King,King
for,for
seruice,service
at,at
White-hall,Whitehall
Where,Where
being,being
quickly,quickly
come,come
as,as
quickly,quickly
we,we
Had,Had
welcome,welcome
to,to
his,his
Sacred,Sacred
Maiesty,Majesty
And,And
for,for
our,our
humblenesse,humbleness
full,full
many,many
a,a
day,day
Were,Were
still,still
exalted,exalted
highest,highest
euery,every
way,way
In,In
workes,works
of,of
most,most
perspicuous,perspicuous
Eminence,Eminence
Which,Which
in,in
all,all
buildings,buildings
haue,have
preheminence,pre-eminence
As,As
Columnes,Columns
Cornish,Cornish
Capitals,Capitals
and,and
Basis,Basis
In,In
Fillets,Fillets
Frise,Frise
in,in
Ornaments,Ornaments
and,and
Facis,Facis
In,In
Architraues,Architraves
in,in
Pedistals,Pedestals
and,and
Pillars,Pillars
And,And
as,as
the,the
onely,only
best,best
of,of
our,our
well-willers,well-willers
Highnesse,Highness
now,now
our,our
seruice,service
doth,doth
preferre,prefer
Vnto,Unto
the,the
Church,Church
to,to
ioyne,join
and,and
dwell,dwell
with,with
Her,Her
So,So
that,that
from,from
one,one
good,good
Montaigne,Montaigne
to,to
another,another
And,And
from,from
our,our
Mother-earth,Mother-earth
to,to
this,this
Church-mother,Church-mother
We,We
come,come
apace,apace
and,and
are,are
preparing,preparing
aye,aye
To,To
cure,cure
her,her
euils,evils
and,and
her,her
great,great
decay,decay
To,To
be,be
her,her
front,front
her,her
bulwarke,bulwark
and,and
defence,defence
also,also
to,to
renue,renew
her,her
excellence,excellence
Where,Where
Hymnes,Hymns
and,and
Haleluiahs,Hallelujahs
shall,shall
be,be
sung,sung
With,With
praises,praises
to,to
the,the
Lord,Lord
by,by
old,old
and,and
young,young
From,From
day,day
to,to
day,day
and,and
so,so
from,from
yeare,year
to,to
yeare,year
Till,Till
Christ,Christ
his,his
second,second
comming,coming
doth,doth
appeare,appear
O,O
happy,happy
age,age
wherein,wherein
such,such
things,things
are,are
done,done
Thrice,Thrice
happy,happy
we,we
that,that
now,now
may,may
see,see
the,the
Sunne,Sun
And,And
be,be
vnited,united
to,to
this,this
sacred,sacred
place,place
A,A
grace,grace
to,to
vs,us
beyond,beyond
all,all
other,other
grace,grace
For,For
thus,thus
wee,we
know,know
the,the
truth,truth
of,of
truest,truest
story,story
All,All
that,that
God,God
made,made
he,he
made,made
for,for
his,his
owne,own
glory,glory
And,And
at,at
one,one
time,time
or,or
other,other
come,come
to,to
light,light
To,To
doe,do
man,man
seruice,service
and,and
their,their
Maker,Maker
right,right
That,That
very,very
senslesse,senseless
things,things
may,may
him,him
adore,adore
And,And
magnifie,magnify
his,his
holy,holy
Name,Name
therefore,therefore
O,O
Blessed,Blessed
God,God
preserue,preserve
our,our
Royall,Royal
Iames,james
honor,honour
his,his
name,name
among,among
the,the
honor'd,honoured
names,names
Of,Of
best,best
precedent,precedent
Kings,Kings
that,that
euer,ever
stood,stood
Renown'd,Renowned
for,for
Wisedome,Wisdom
and,and
for,for
doing,doing
good,good
Make,Make
him,him
a,a
second,second
Salomon,Solomon
a,a
peerlesse,peerless
Iemme,gem
In,In
these,these
his,his
Kingdomes,Kingdoms
this,this
his,his
Ierusalem,jerusalem
Lengthen,Lengthen
his,his
dayes,days
his,his
treasure,treasure
still,still
increase,increase
And,And
let,let
him,him
liue,live
and,and
dye,dye
a,a
King,King
of,of
peace,peace
So,So
blesse,bless
O,O
Lord,Lord
our,our
high,high
mighty,mighty
Charles,Charles
And,And
then,then
the,the
names,names
of,of
Barons,Barons
Peers,Peers
and,and
Earles,Earls
The,The
worthy,worthy
Knights,Knights
and,and
Gentry,Gentry
of,of
this,this
Land,Land
That,That
to,to
this,this
Worke,Work
doe,do
set,set
their,their
helping,helping
hand,hand
The,The
Bishops,Bishops
Clergy,Clergy
Citie,City
Country,Country
All,All
And,And
as,as
our,our
duties,duties
binde,bind
in,in
speciall,special
This,This
Reu'rend,Reverend
Bishop,Bishop
for,for
his,his
loue,love
to,to
vs,us
Let,Let
him,him
be,be
famous,famous
as,as
MAVRITIVS,MAURITIUS
Anno,Anno
This,This
Church,Church
of,of
Saint,Saint
Paul,Paul
was,was
much,much
wasted,wasted
by,by
