The,The
recantacion,recantation
of,of
Iacke,jacke
Ient,jent
late,late
vicare,vicar
generall,general
to,to
the,the
mooste,most
cruell,cruel
Antichriste,Antichrist
of,of
Rome,Rome
CErtain,CErtain
I,I
am,am
right,right
honorable,honourable
audience,audience
that,that
I,I
am,am
not,not
vnknowen,unknown
to,to
any,any
one,one
of,of
you,you
what,what
I,I
am,am
howe,how
I,I
haue,have
continued,continued
my,my
tyme,time
amongest,amongst
you,you
But,But
whence,whence
I,I
came,came
or,or
whose,whose
creature,creature
I,I
am,am
I,I
thynke,think
fewe,few
of,of
you,you
do,do
as,as
yet,yet
know,know
The,The
most,most
part,part
of,of
you,you
I,I
am,am
sure,sure
haue,have
hetherto,hitherto
ben,been
perswaded,persuaded
and,and
in,in
dede,deed
I,I
my selfe,myself
haue,have
confessed,confessed
taught,taught
no,no
lesse,less
that,that
I,I
came,came
from,from
God,God
and,and
had,had
my,my
fyrste,first
beynge,being
of,of
the,the
institution,institution
of,of
Christ,Christ
the,the
onely,only
sonne,son
of,of
the,the
lyuinge,living
God,God
affirmeynge,affirmeing
that,that
he,he
in,in
that,that
he,he
fasted,fasted
dayes,days
and,and
fourtie,forty
nightes,nights
gaue,gave
vs,us
axexāple,axexample
to,to
do,do
the,the
same,same
This,This
is,is
your,your
perswacion,persuasion
and,and
this,this
haue,have
I,I
heretofore,heretofore
taught,taught
partlye,partly
thorowe,thorough
ignoraunce,ignorance
in,in
that,that
I,I
knew,knew
no,no
better,better
partly,partly
thorowe,thorough
pride,pride
of,of
herte,heart
whyche,which
caused,caused
me,me
to,to
seke,seek
wayes,ways
to,to
be,be
had,had
in,in
price,price
moone,moon
estemed,esteemed
amonge,among
you,you
that,that
professe,profess
the,the
name,name
of,of
Christ,Christ
But,But
now,now
that,that
it,it
hath,hath
pleased,pleased
the,the
Lorde,Lord
to,to
open,open
mine,mine
eyes,eyes
and,and
humble,humble
mine,mine
hert,heart
that,that
I,I
maye,may
see,see
mine,mine
owne,own
estate,estate
and,and
contente,content
my selfe,myself
therwyth,therewith
I,I
am,am
at,at
this,this
presente,present
determined,determined
to,to
reuoke,revoke
retracte,retract
and,and
recante,recant
not,not
onely,only
this,this
erroniouse,erroneous
false,false
doctrine,doctrine
but,but
also,also
all,all
other,other
supersticiouse,superstitious
doctrine,doctrine
that,that
I,I
haue,have
at,at
anie,any
tyme,time
taught,taught
and,and
wyll,will
out,out
of,of
the,the
scriptures,scriptures
declare,declare
trulye,truly
and,and
sincerlye,sincerlye
whense,whence
I,I
came,came
whose,whose
creature,creature
I,I
am,am
and,and
what,what
abuses,abuses
I,I
haue,have
mayntened,maintained
Fyrst,first
and,and
principalli,principally
I,I
acknowledg,acknowledge
that,that
I,I
am,am
no,no
creature,creature
of,of
God,God
nor,nor
haue,have
any,any
beynge,being
of,of
hym,him
or,or
hys,his
institucion,institution
but,but
am,am
the,the
mere,mere
inuencion,invention
ordinaunce,ordinance
of,of
man,man
fyrst,first
inuented,invented
for,for
a,a
polityke,politic
ordre,order
euen,even
as,as
other,other
humayne,human
tradicions,traditions
haue,have
bene,been
And,And
accordynge,according
to,to
thys,this
purpose,purpose
of,of
my,my
firste,first
creation,creation
I,I
am,am
nowe,now
by,by
the,the
maiestrates,magistrates
of,of
this,this
realme,realm
permitted,permitted
to,to
continewe,continue
so,so
longe,long
as,as
they,they
shal,shall
se,see
me,me
to,to
be,be
profitable,profitable
to,to
the,the
publyke,public
and,and
comme,come
weale,weal
And,And
where,where
I,I
haue,have
taught,taught
that,that
the,the
example,example
of,of
Christ,Christ
in,in
fastynge,fasting
fourtie,forty
dayes,days
fourtie,forty
nyghtes,nights
ought,ought
to,to
be,be
folowed,followed
of,of
you,you
I,I
vtterly,utterly
forsake,forsake
it,it
acknowelegynge,acknowledging
that,that
for,for
asmuche,asmuch
as,as
the,the
fastynge,fasting
of,of
Christe,Christ
was,was
a,a
worke,work
aboue,above
nature,nature
it,it
was,was
a,a
miracle,miracle
or,or
thynge,thing
to,to
be,be
wondered,wondered
at,at
and,and
not,not
an,an
example,example
to,to
be,be
folowed,followed
more,more
than,than
the,the
reste,rest
of,of
his,his
miracles,miracles
and,and
wonderfull,wonderful
workes,works
were,were
And,And
in,in
verye,very
dede,deed
the,the
way,way
that,that
I,I
haue,have
taught,taught
you,you
haue,have
folowed,followed
is,is
nothinge,nothing
lyke,like
the,the
example,example
of,of
Christe,Christ
For,For
he,he
fasted,fasted
all,all
the,the
tyme,time
of,of
his,his
faste,fast
frome,from
all,all
kindes,kinds
of,of
sustinaunce,sustenance
but,but
I,I
haue,have
taught,taught
you,you
to,to
fast,fast
from,from
fleshe,flesh
white,white
meate,meat
