Discourses,Discourses
ought,ought
certainly,certainly
to,to
be,be
the,the
more,more
pleasant,pleasant
to,to
them,them
whom,whom
he,he
is,is
risen,risen
upon,upon
and,and
who,who
Experience,Experience
the,the
Benefit,Benefit
of,of
healing,healing
in,in
his,his
Wings,Wings
there,there
being,being
not,not
one,one
Saint,Saint
in,in
Heaven,Heaven
or,or
in,in
Earth,Earth
but,but
what,what
may,may
truly,truly
say,say
All,All
this,this
Misery,Misery
had,had
been,been
my,my
Everlasting,Everlasting
Lot,Lot
among,among
the,the
worst,worst
of,of
Sinners,Sinners
if,if
the,the
Eternal,Eternal
Son,Son
of,of
God,God
had,had
not,not
been,been
made,made
Sin,Sin
and,and
a,a
Curse,Curse
for,for
me,me
If,If
God,God
will,will
vouchsafe,vouchsafe
his,his
Blessing,Blessing
upon,upon
what,what
is,is
written,written
here,here
for,for
the,the
accomplishing,accomplishing
of,of
so,so
good,good
Effects,Effects
I,I
shall,shall
have,have
that,that
which,which
I,I
covet,covet
above,above
all,all
the,the
Prosperity,Prosperity
of,of
the,the
World,World
Whereof,Whereof
I,I
may,may
Glory,Glory
through,through
Jesus,Jesus
Christ,Christ
in,in
things,things
pertaining,pertaining
to,to
God,God
For,For
undoubtedly,undoubtedly
the,the
success,success
of,of
our,our
Labours,Labours
is,is
onr,onr
most,most
solid,solid
Reputation,Reputation
and,and
that,that
Author,Author
hath,hath
the,the
best,best
and,and
greatest,greatest
Name,Name
whose,whose
Writings,Writings
are,are
of,of
most,most
advantage,advantage
to,to
the,the
Souls,Souls
of,of
Men,Men
And,And
therefore,therefore
tho,tho
in,in
the,the
Preaching,Preaching
of,of
the,the
following,following
Sermons,Sermons
I,I
thought,thought
not,not
of,of
their,their
having,having
any,any
other,other
Impression,Impression
than,than
on,on
the,the
Hearts,Hearts
of,of
the,the
Hearers,Hearers
I,I
do,do
now,now
profess,profess
my,my
earnest,earnest
Desire,Desire
that,that
they,they
may,may
be,be
Printed,Printed
over,over
again,again
upon,upon
the,the
Mind,Mind
of,of
every,every
Reader,Reader
leaving,leaving
my,my
solemn,solemn
Supplication,Supplication
at,at
the,the
Throne,Throne
of,of
Grace,Grace
that,that
this,this
may,may
be,be
done,done
by,by
the,the
Finger,Finger
of,of
God,God
Octob,Octob
ERRATA,ERRATA
PAge,page.
Line,Line
Read,red
dispensing,dispensing
r,r
Lord,Lord
r,r
difference,difference
r,r
honour,honour
of,of
blot,blot
out,out
after,after
they,they
r,r
begin,begin
r,r
insolvent,insolvent
blot,blot
out,out
after,after
preserved,preserved
DISCOURSES,DISCOURSES
Upon,Upon
the,the
RICH,RICH
MAN,MAN
AND,AND
Lazarus,Lazarus
SERMON,SERMON
Luke,Luke
xvi,xvi
xix,xix
There,There
was,was
